dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.879353,13.269497,13.858677,0.963392,-6.223628,0.139575,6.261834
0.020000,17.896129,13.269134,13.875456,0.838951,-6.222032,0.079787,6.261211
0.020000,17.910416,13.268816,13.889747,0.714552,-6.219955,0.103859,6.260679
0.020000,17.922217,13.268547,13.901550,0.590182,-6.218498,0.072860,6.260239
0.020000,17.931531,13.268332,13.910867,0.465839,-6.217173,0.066216,6.259891
0.020000,17.938359,13.268172,13.917697,0.341506,-6.216637,0.026836,6.259636
0.020000,17.942702,13.268069,13.922041,0.217200,-6.215332,0.065221,6.259473
0.020000,17.944716,13.268022,13.924056,0.100748,-5.822578,19.637738,6.259398
0.020000,17.945181,13.268011,13.924521,0.023224,-3.876191,97.319333,6.259380
0.020000,17.945181,13.268011,13.924521,0.000000,-1.161209,135.749091,6.259380
